UNIQUE_ID,2007,2012,2017
NCA_CA-10024,NA,NA,NA
NCA_CA-10025,NA,NA,NA
NCA_CA-10026,NA,NA,NA
NCA_CA-10027,NA,NA,NA
NCA_CA-10028,NA,NA,NA
NCA_CA-10029,NA,NA,NA
NCA_CA-10030,NA,NA,NA
NCA_CA-10031,NA,NA,NA
NCA_CA-10032,NA,NA,NA
NCA_CA-10033,NA,NA,NA
NCA_CA-10034,NA,NA,NA
NCA_CA-10035,NA,NA,NA
NCA_CA-10036,NA,NA,NA
NCA_CA-10037,NA,NA,NA
NCA_CA-10038,NA,NA,NA
NCA_CA-10039,NA,NA,NA
NCA_CA-10040,NA,NA,NA
NCA_CA-10041,NA,NA,NA
NCA_CA-10042,NA,NA,NA
NCA_CA-10043,NA,NA,NA
NCA_CA-10044,NA,NA,NA
NCA_CA-10045,NA,NA,NA
NCA_CA-10046,NA,NA,NA
NCA_CA-10047,NA,NA,NA
NCA_CA-10048,NA,NA,NA
NCA_CA-10049,NA,NA,NA
NCA_CA-10050,NA,NA,NA
NCA_CA-10051,NA,NA,NA
NCA_CA-10052,NA,NA,NA
NCA_CA-10053,NA,NA,NA
NCA_CA-10054,NA,NA,NA
NCA_CA-10055,NA,NA,NA
NCA_CA-10056,NA,NA,NA
NCA_CA-10057,NA,NA,NA
NCA_CA-10058,NA,NA,NA
NCA_CA-10059,NA,NA,NA
NCA_CA-10060,NA,NA,NA
NCA_CA-10061,NA,NA,NA
NCA_CA-10062,NA,NA,NA
NCA_CA-10063,NA,NA,NA
NCA_CA-10064,NA,NA,NA
NCA_CA-10065,NA,NA,NA
NCA_CA-10066,NA,NA,NA
NCA_CA-10067,NA,NA,NA
NCA_CA-10068,NA,NA,NA
NCA_CA-10069,NA,NA,NA
NCA_CA-10070,NA,NA,NA
NCA_CA-10071,NA,NA,NA
NCA_CA-10072,NA,NA,NA
NCA_CA-10073,NA,NA,NA
NCA_CA-10074,NA,NA,NA
NCA_CA-10075,NA,NA,NA
NCA_CA-10076,NA,NA,NA
NCA_CA-10077,NA,NA,NA
NCA_CA-10078,NA,NA,NA
NCA_CA-10079,NA,NA,NA
NCA_CA-10080,NA,NA,NA
NCA_CA-10081,NA,NA,NA
NCA_CA-10082,NA,NA,NA
NCA_CA-10083,NA,NA,NA
NCA_CA-10084,NA,NA,NA
NCA_CA-10085,NA,NA,NA
NCA_CA-10086,NA,NA,NA
NCA_CA-10087,NA,NA,NA
NCA_CA-10088,NA,NA,NA
NCA_CA-10089,NA,NA,NA
NCA_CA-10090,NA,NA,NA
NCA_CA-10091,NA,NA,NA
NCA_CA-10092,NA,NA,NA
NCA_CA-10093,NA,NA,NA
NCA_CA-10094,NA,NA,NA
NCA_CA-10095,NA,NA,NA
NCA_CA-10096,NA,NA,NA
NCA_CA-10097,NA,NA,NA
NCA_CA-10098,NA,NA,NA
NCA_CA-10099,NA,NA,NA
NCA_CA-10100,NA,NA,NA
NCA_CA-10101,NA,NA,NA
NCA_CA-10102,NA,NA,NA
NCA_CA-10103,NA,NA,NA
NCA_CA-10104,NA,NA,NA
NCA_CA-10105,NA,NA,NA
NCA_CA-10106,NA,NA,NA
NCA_CA-10107,NA,NA,NA
NCA_CA-10108,NA,NA,NA
NCA_CA-10109,NA,NA,NA
NCA_CA-10110,NA,NA,NA
NCA_CA-10111,NA,NA,NA
NCA_CA-10112,NA,NA,NA
NCA_CA-10113,NA,NA,NA
NCA_CA-10114,NA,NA,NA
NCA_CA-10115,NA,NA,NA
NCA_CA-10116,NA,NA,NA
NCA_CA-10117,NA,NA,NA
NCA_CA-10118,NA,NA,NA
NCA_CA-10119,NA,NA,NA
NCA_CA-10120,NA,NA,NA
NCA_CA-10121,NA,NA,NA
NCA_CA-10122,NA,NA,NA
NCA_CA-10123,NA,NA,NA
NCA_CA-10124,NA,NA,NA
NCA_CA-10125,NA,NA,NA
NCA_CA-10126,NA,NA,NA
NCA_CA-10127,NA,NA,NA
NCA_CA-10128,NA,NA,NA
NCA_CA-10129,NA,NA,NA
NCA_CA-10130,NA,NA,NA
NCA_CA-10131,NA,NA,NA
NCA_CA-10132,NA,NA,NA
NCA_CA-10133,NA,NA,NA
NCA_CA-10134,NA,NA,NA
NCA_CA-10135,NA,NA,NA
NCA_CA-10136,NA,NA,NA
NCA_CA-10137,NA,NA,NA
NCA_CA-10138,NA,NA,NA
NCA_CA-10139,NA,NA,NA
NCA_CA-10140,NA,NA,NA
NCA_CA-10141,NA,NA,NA
NCA_CA-10142,NA,NA,NA
NCA_CA-10143,NA,NA,NA
NCA_CA-10144,NA,NA,NA
NCA_CA-10145,NA,NA,NA
NCA_CA-10146,NA,NA,NA
NCA_CA-10147,NA,NA,NA
NCA_CA-10148,NA,NA,NA
NCA_CA-10149,NA,NA,NA
NCA_CA-10150,NA,NA,NA
NCA_CA-10151,NA,NA,NA
NCA_CA-10152,NA,NA,NA
NCA_CA-10153,NA,NA,NA
NCA_CA-10154,NA,NA,NA
NCA_CA-10155,NA,NA,NA
NCA_CA-10156,NA,NA,NA
NCA_CA-10157,NA,NA,NA
NCA_CA-10158,NA,NA,NA
NCA_CA-10159,NA,NA,NA
NCA_CA-10160,NA,NA,NA
NCA_CA-10161,NA,NA,NA
NCA_CA-10162,NA,NA,NA
NCA_CA-10163,NA,NA,NA
NCA_CA-10164,NA,NA,NA
NCA_CA-10165,NA,NA,NA
NCA_CA-10166,NA,NA,NA
NCA_CA-10167,NA,NA,NA
NCA_CA-10168,NA,NA,NA
NCA_CA-10169,NA,NA,NA
NCA_CA-10170,NA,NA,NA
NCA_CA-10171,NA,NA,NA
NCA_CA-10172,NA,NA,NA
NCA_CA-10173,NA,NA,NA
NCA_CA-10174,NA,NA,NA
NCA_CA-10175,NA,NA,NA
NCA_CA-10176,NA,NA,NA
NCA_CA-10177,NA,NA,NA
NCA_CA-10178,NA,NA,NA
NCA_CA-10179,NA,NA,NA
NCA_CA-10180,NA,NA,NA
NCA_CA-10181,NA,NA,NA
NCA_CA-10182,NA,NA,NA
NCA_CA-10183,NA,NA,NA
NCA_CA-10184,NA,NA,NA
NCA_CA-10185,NA,NA,NA
NCA_CA-10186,NA,NA,NA
NCA_CA-10187,NA,NA,NA
NCA_CA-10188,NA,NA,NA
NCA_CA-10189,NA,NA,NA
NCA_CA-10191,NA,NA,NA
NCA_CA-10192,NA,NA,NA
NCA_CA-10193,NA,NA,NA
NCA_CA-10194,NA,NA,NA
NCA_CA-10195,NA,NA,NA
NCA_CA-10196,NA,NA,NA
NCA_CA-10197,NA,NA,NA
NCA_CA-10198,NA,NA,NA
NCA_CA-10199,NA,NA,NA
NCA_CA-10200,NA,NA,NA
NCA_CA-10203,NA,NA,NA
NCA_CA-10207,NA,NA,NA
NCA_CA-10208,NA,NA,NA
NCA_CA-10210,NA,NA,NA
NCA_CA-10211,NA,NA,NA
NCA_CA-10212,NA,NA,NA
NCA_CA-10214,NA,NA,NA
NCA_CA-10216,NA,NA,NA
NCA_CA-10217,NA,NA,NA
NCA_CA-10218,NA,NA,NA
NCA_CA-10219,NA,NA,NA
NCA_CA-10220,NA,NA,NA
NCA_CA-10221,NA,NA,NA
NCA_CA-10223,NA,NA,NA
NCA_CA-10225,NA,NA,NA
NCA_CA-10226,NA,NA,NA
NCA_CA-10229,NA,NA,NA
NCA_CA-10231,NA,NA,NA
NCA_CA-10232,NA,NA,NA
NCA_CA-10233,NA,NA,NA
NCA_CA-10234,NA,NA,NA
NCA_CA-10235,NA,NA,NA
NCA_CA-10236,NA,NA,NA
NCA_CA-10237,NA,NA,NA
NCA_CA-10238,NA,NA,NA
NCA_CA-10239,NA,NA,NA
NCA_CA-10240,NA,NA,NA
NCA_CA-10241,NA,NA,NA
NCA_CA-10242,NA,NA,NA
NCA_CA-10243,NA,NA,NA
NCA_CA-10244,NA,NA,NA
NCA_CA-10245,NA,NA,NA
NCA_CA-10246,NA,NA,NA
NCA_CA-10247,NA,NA,NA
NCA_CA-10248,NA,NA,NA
NCA_CA-10249,NA,NA,NA
NCA_CA-10250,NA,NA,NA
NCA_CA-10251,NA,NA,NA
NCA_CA-10252,NA,NA,NA
NCA_CA-10253,NA,NA,NA
NCA_CA-10254,NA,NA,NA
NCA_CA-10255,NA,NA,NA
NCA_CA-10256,NA,NA,NA
NCA_CA-10257,NA,NA,NA
NCA_CA-10258,NA,NA,NA
NCA_CA-10259,NA,NA,NA
NCA_CA-10260,NA,NA,NA
NCA_CA-10261,NA,NA,NA
NCA_CA-10262,NA,NA,NA
NCA_CA-10263,NA,NA,NA
NCA_CA-10264,NA,NA,NA
NCA_CA-10266,NA,NA,NA
NCA_CA-10267,NA,NA,NA
NCA_CA-10269,NA,NA,NA
NCA_CA-10270,NA,NA,NA
NCA_CA-10271,NA,NA,NA
NCA_CA-10272,NA,NA,NA
NCA_CA-10273,NA,NA,NA
NCA_CA-10276,NA,NA,NA
NCA_CA-10277,NA,NA,NA
NCA_CA-10278,NA,NA,NA
NCA_CA-10279,NA,NA,NA
NCA_CA-10280,NA,NA,NA
NCA_CA-10282,NA,NA,NA
NCA_CA-10283,NA,NA,NA
NCA_CA-10284,NA,NA,NA
NCA_CA-10285,NA,NA,NA
NCA_CA-10286,NA,NA,NA
NCA_CA-10287,NA,NA,NA
NCA_CT-10001,NA,NA,NA
NCA_CT-10002,NA,NA,NA
NCA_CT-10003,NA,NA,NA
NCA_CT-10004,NA,NA,NA
NCA_CT-10005,NA,NA,NA
NCA_CT-10006,NA,NA,NA
NCA_CT-10007,NA,NA,NA
NCA_CT-10008,NA,NA,NA
NCA_CT-10009,NA,NA,NA
NCA_CT-10010,NA,NA,NA
NCA_CT-10011,NA,NA,NA
NCA_CT-10012,NA,NA,NA
NCA_CT-10013,NA,NA,NA
NCA_CT-10014,NA,NA,NA
NCA_CT-10015,NA,NA,NA
NCA_CT-10016,NA,NA,NA
NCA_CT-10017,NA,NA,NA
NCA_CT-10018,NA,NA,NA
NCA_CT-10019,NA,NA,NA
NCA_CT-10020,NA,NA,NA
NCA_CT-10021,NA,NA,NA
NCA_CT-10022,NA,NA,NA
NCA_CT-10023,NA,NA,NA
NCA_CT-10024,NA,NA,NA
NCA_CT-10025,NA,NA,NA
NCA_CT-10026,NA,NA,NA
NCA_CT-10027,NA,NA,NA
NCA_CT-10028,NA,NA,NA
NCA_CT-10029,NA,NA,NA
NCA_CT-10030,NA,NA,NA
NCA_CT-10031,NA,NA,NA
NCA_CT-10032,NA,NA,NA
NCA_CT-10033,NA,NA,NA
NCA_CT-10034,NA,NA,NA
NCA_CT-10035,NA,NA,NA
NCA_CT-10036,NA,NA,NA
NCA_CT-10037,NA,NA,NA
NCA_CT-10038,NA,NA,NA
NCA_CT-10039,NA,NA,NA
NCA_CT-10040,NA,NA,NA
NCA_CT-10041,NA,NA,NA
NCA_CT-10042,NA,NA,NA
NCA_CT-10043,NA,NA,NA
NCA_CT-10044,NA,NA,NA
NCA_CT-10045,NA,NA,NA
NCA_CT-10046,NA,NA,NA
